DATETIME,TEMPERATURE
20200114T20:08:01,temp=37.0'C
20200114T20:10:01,temp=37.0'C
20200114T20:12:01,temp=36.0'C
20200114T20:14:01,temp=36.0'C
20200114T20:16:01,temp=38.0'C
20200114T20:18:01,temp=36.0'C
20200114T20:20:01,temp=37.0'C
20200114T20:22:01,temp=36.0'C
20200114T20:24:02,temp=36.0'C
20200114T20:26:01,temp=36.0'C
20200114T20:28:01,temp=37.0'C
20200114T20:30:01,temp=36.0'C
20200114T20:32:01,temp=36.0'C
20200114T20:34:01,temp=37.0'C
20200114T20:36:01,temp=37.0'C
20200114T20:38:01,temp=37.0'C
20200114T20:40:01,temp=35.0'C
20200114T20:42:01,temp=37.0'C
20200114T20:44:01,temp=38.0'C
20200114T20:46:01,temp=37.0'C
20200114T20:48:01,temp=37.0'C
20200114T20:50:01,temp=37.0'C
20200114T20:52:01,temp=37.0'C
20200114T20:54:01,temp=37.0'C
20200114T20:56:01,temp=35.0'C
20200114T20:58:01,temp=36.0'C
20200114T21:00:01,temp=36.0'C
20200114T21:02:01,temp=37.0'C
20200114T21:04:01,temp=37.0'C
20200114T21:06:01,temp=38.0'C
20200114T21:08:01,temp=36.0'C
20200114T21:10:01,temp=38.0'C
20200114T21:12:01,temp=37.0'C
20200114T21:14:01,temp=37.0'C
20200114T21:16:01,temp=37.0'C
20200114T21:18:01,temp=37.0'C
20200114T21:20:02,temp=37.0'C
20200114T21:22:01,temp=37.0'C
20200114T21:24:01,temp=36.0'C
20200114T21:26:01,temp=38.0'C
20200114T21:28:01,temp=37.0'C
20200114T21:30:01,temp=38.0'C
20200114T21:32:01,temp=36.0'C
20200114T21:34:02,temp=35.0'C
20200114T21:36:01,temp=37.0'C
20200114T21:38:01,temp=36.0'C
20200114T21:40:01,temp=37.0'C
20200114T21:42:01,temp=36.0'C
20200114T21:44:01,temp=37.0'C
20200114T21:46:01,temp=36.0'C
20200114T21:48:01,temp=36.0'C
20200114T21:50:01,temp=37.0'C
20200114T21:52:01,temp=37.0'C
20200114T21:54:01,temp=37.0'C
20200114T21:56:01,temp=36.0'C
20200114T21:58:01,temp=37.0'C
20200114T22:00:01,temp=36.0'C
20200114T22:02:01,temp=37.0'C
20200114T22:04:01,temp=37.0'C
20200114T22:06:01,temp=37.0'C
20200114T22:08:01,temp=37.0'C
20200114T22:10:01,temp=37.0'C
20200114T22:12:01,temp=36.0'C
20200114T22:14:01,temp=37.0'C
20200114T22:16:01,temp=38.0'C
20200114T22:18:01,temp=38.0'C
20200114T22:20:01,temp=38.0'C
20200114T22:22:01,temp=38.0'C
20200114T22:24:01,temp=37.0'C
20200114T22:26:01,temp=38.0'C
20200114T22:28:01,temp=37.0'C
20200114T22:30:02,temp=37.0'C
20200114T22:32:01,temp=37.0'C
20200114T22:34:01,temp=37.0'C
20200114T22:36:01,temp=37.0'C
20200114T22:38:01,temp=36.0'C
20200114T22:40:01,temp=38.0'C
20200114T22:42:01,temp=38.0'C
20200114T22:44:01,temp=37.0'C
20200114T22:46:01,temp=37.0'C
20200114T22:48:01,temp=38.0'C
20200114T22:50:01,temp=37.0'C
20200114T22:52:01,temp=38.0'C
20200114T22:54:01,temp=37.0'C
20200114T22:56:01,temp=36.0'C
20200114T22:58:01,temp=37.0'C
20200114T23:00:01,temp=37.0'C
20200114T23:02:01,temp=37.0'C
20200114T23:04:01,temp=37.0'C
20200114T23:06:01,temp=37.0'C
20200114T23:08:01,temp=36.0'C
20200114T23:10:01,temp=38.0'C
20200114T23:12:01,temp=37.0'C
20200114T23:14:01,temp=37.0'C
20200114T23:16:01,temp=37.0'C
20200114T23:18:01,temp=38.0'C
20200114T23:20:01,temp=37.0'C
20200114T23:22:01,temp=37.0'C
20200114T23:24:01,temp=37.0'C
20200114T23:26:02,temp=36.0'C
20200114T23:28:01,temp=37.0'C
20200114T23:30:01,temp=36.0'C
20200114T23:32:01,temp=37.0'C
