BOOK_URL;NUM_MAX_PAGES
http://literature.awgp.org/book/apane_deepak_aap_bano_tum/v2.1;http://literature.awgp.org/book/apane_deepak_aap_bano_tum/v2.31
http://literature.awgp.org/book/apane_deepak_aap_bano_tum/v1.1;http://literature.awgp.org/book/apane_deepak_aap_bano_tum/v1.136
http://literature.awgp.org/book/apane_brahman_evan_sant_ko_jinda_keejie/v2.1;http://literature.awgp.org/book/apane_brahman_evan_sant_ko_jinda_keejie/v2.33
http://literature.awgp.org/book/apne_samay_ki_sarvopari/v1.1;http://literature.awgp.org/book/apne_samay_ki_sarvopari/v1.16
http://literature.awgp.org/book/Apurnata_Se_Purnata_Ki_or/v1.1;http://literature.awgp.org/book/Apurnata_Se_Purnata_Ki_or/v1.32
http://literature.awgp.org/book/abraham_lincoln/v1.1;http://literature.awgp.org/book/abraham_lincoln/v1.32
http://literature.awgp.org/book/Abhibhavakon_Aur_Santanon_Ke_Bich_Bhavanatmak_Adan_Pradan/v1.1;http://literature.awgp.org/book/Abhibhavakon_Aur_Santanon_Ke_Bich_Bhavanatmak_Adan_Pradan/v1.40
http://literature.awgp.org/book/abhivandna/v1.1;http://literature.awgp.org/book/abhivandna/v1.22
http://literature.awgp.org/book/abhivyanjna/v1.1;http://literature.awgp.org/book/abhivyanjna/v1.32
http://literature.awgp.org/book/Amarvani/v1.1;http://literature.awgp.org/book/Amarvani/v1.49
http://literature.awgp.org/book/Amarvani/v4.1;http://literature.awgp.org/book/Amarvani/v4.27
http://literature.awgp.org/book/Amarvani/v2.1;http://literature.awgp.org/book/Amarvani/v2.57
http://literature.awgp.org/book/Amarvani/v3.1;http://literature.awgp.org/book/Amarvani/v3.14
http://literature.awgp.org/book/amrit_vachan_jeevan_ke_siddh_sootr/v1.1;http://literature.awgp.org/book/amrit_vachan_jeevan_ke_siddh_sootr/v1.25
http://literature.awgp.org/book/fijan_badal_detee_haavatar_kee_aandhee/v2.1;http://literature.awgp.org/book/fijan_badal_detee_haavatar_kee_aandhee/v2.32
http://literature.awgp.org/book/avantika_bai_gokhale/v1.1;http://literature.awgp.org/book/avantika_bai_gokhale/v1.14
http://literature.awgp.org/book/avanchhaneey_prachalanon_ko_ulatane_kee_aavashyakata/v1.1;http://literature.awgp.org/book/avanchhaneey_prachalanon_ko_ulatane_kee_aavashyakata/v1.65
http://literature.awgp.org/book/asantosh_ki_aag_se_bache/v1.1;http://literature.awgp.org/book/asantosh_ki_aag_se_bache/v1.40
http://literature.awgp.org/book/asantosh_ke_karan_aur_nivaran/v1.1;http://literature.awgp.org/book/asantosh_ke_karan_aur_nivaran/v1.32
http://literature.awgp.org/book/Asanyam_Banam_Aatmghat/v1.1;http://literature.awgp.org/book/Asanyam_Banam_Aatmghat/v1.48
http://literature.awgp.org/book/asamany_evan_vilakshan_kintu_sanbhav_aur_sulabh/v1.1;http://literature.awgp.org/book/asamany_evan_vilakshan_kintu_sanbhav_aur_sulabh/v1.112
http://literature.awgp.org/book/asamany_evan_vilakshan_kintu_sanbhav_aur_sulabh/v2.1;http://literature.awgp.org/book/asamany_evan_vilakshan_kintu_sanbhav_aur_sulabh/v2.7
http://literature.awgp.org/book/Aseem_Par_Nirbhar_Saseem_Jeevan/v2.1;http://literature.awgp.org/book/Aseem_Par_Nirbhar_Saseem_Jeevan/v2.7
http://literature.awgp.org/book/Aseem_Par_Nirbhar_Saseem_Jeevan/v1.1;http://literature.awgp.org/book/Aseem_Par_Nirbhar_Saseem_Jeevan/v1.114
http://literature.awgp.org/book/aao_ghadhen_sanshkarvan_pidhi_big/v1.1;http://literature.awgp.org/book/aao_ghadhen_sanshkarvan_pidhi_big/v1.56
http://literature.awgp.org/book/aao_ghadhen_sanshkarvan_pidhi/v1.1;http://literature.awgp.org/book/aao_ghadhen_sanshkarvan_pidhi/v1.48
http://literature.awgp.org/book/Aage_Badane_Ki_Taiyari/v1.1;http://literature.awgp.org/book/Aage_Badane_Ki_Taiyari/v1.48
http://literature.awgp.org/book/aade_samay_ki_vishamta/v1.1;http://literature.awgp.org/book/aade_samay_ki_vishamta/v1.16
http://literature.awgp.org/book/aatma_kalyan_ka_marg/v1.1;http://literature.awgp.org/book/aatma_kalyan_ka_marg/v1.2
http://literature.awgp.org/book/aatmashakti_se_yugashakti_ka_udbhav/v2.1;http://literature.awgp.org/book/aatmashakti_se_yugashakti_ka_udbhav/v2.3
http://literature.awgp.org/book/Atmagyan_Aur_Atmakalyan/v1.1;http://literature.awgp.org/book/Atmagyan_Aur_Atmakalyan/v1.25
http://literature.awgp.org/book/Atmagyan_Aur_Atmakalyan/v3.1;http://literature.awgp.org/book/Atmagyan_Aur_Atmakalyan/v3.10
http://literature.awgp.org/book/aatmavikas_ke_char_charan/v2.1;http://literature.awgp.org/book/aatmavikas_ke_char_charan/v2.31
http://literature.awgp.org/book/Aatm_shakti_Ka_Uchchastariye_Niyojan/v1.1;http://literature.awgp.org/book/Aatm_shakti_Ka_Uchchastariye_Niyojan/v1.47
http://literature.awgp.org/book/aatmashakti_se_yugashakti_ka_udbhav/v1.1;http://literature.awgp.org/book/aatmashakti_se_yugashakti_ka_udbhav/v1.65
http://literature.awgp.org/book/aatma-paramatma_ka_milan-sanyog/v1.1;http://literature.awgp.org/book/aatma-paramatma_ka_milan-sanyog/v1.168
http://literature.awgp.org/book/Aatma_na_Nari_Hai_na_Nar/v1.1;http://literature.awgp.org/book/Aatma_na_Nari_Hai_na_Nar/v1.115
http://literature.awgp.org/book/Aatma_na_Nari_Hai_na_Nar/v3.1;http://literature.awgp.org/book/Aatma_na_Nari_Hai_na_Nar/v3.7
http://literature.awgp.org/book/Aatma_parmatma_Ka_Milan_Sanyog/v1.1;http://literature.awgp.org/book/Aatma_parmatma_Ka_Milan_Sanyog/v1.170
http://literature.awgp.org/book/Aatma_Vaa_Are_Gyatavya/v1.1;http://literature.awgp.org/book/Aatma_Vaa_Are_Gyatavya/v1.47
http://literature.awgp.org/book/aatmik_unnati_ke_char_charan/v2.1;http://literature.awgp.org/book/aatmik_unnati_ke_char_charan/v2.32
http://literature.awgp.org/book/support_is_needed_for_self_evolution/v2.1;http://literature.awgp.org/book/support_is_needed_for_self_evolution/v2.36
http://literature.awgp.org/book/aatmiki_ki_ek_srwangpurn_shakha_jyotirvigyan/v1.1;http://literature.awgp.org/book/aatmiki_ki_ek_srwangpurn_shakha_jyotirvigyan/v1.9
http://literature.awgp.org/book/aatmeeyata_ka_madhury_aur_aanand/v1.1;http://literature.awgp.org/book/aatmeeyata_ka_madhury_aur_aanand/v1.57
