URL,UNIQUE_PAGEVIEWS_IN_LAST_90_DAYS
/indian-chapati-with-peppery-garlicky-avocado-spread-with-veggies/,158
/whole-wheat-peach-muffins/,157
/khatta-meetha-indori-poha-beaten-rice-fry/,157
/zucchini-chickpea-flour-pancake-zucchini-chilla-recipe/,156
/palak-paneer-recipe-video/,155
/black-eyed-bean-mushroom-curry-recipe/,153
/best-gulab-jamun-recipe-dessert-sweets-video-recipe/,153
/homemade-schezwan-sauce-video-recipe/,153
/kesar-elaichi-shrikhand-video-recipe/,153
/rajbhog-recipe/,153
/eggless-mango-mousse/,153
/namak-para-recipe/,152
/ginger-cardamom-tea-adrak-ilaichi-wali-chai/,152
/mango-pudding/,151
/indulging-coconut-mango-panna-cotta-recipe/,150
/spicy-zucchini-waffles-how-to-make-waffled-besan-chilla-video-recipe/,149
/vegan-coconut-blueberry-ice-cream/,149
/vermicelli-birds-nest-video/,149
/rava-uttapam/,148
/candied-sago-pudding-blueberry-sauce-recipe/,147
/radish-raita-mooli-raita/,147
/ghee-mysore-pak/,147
/garlic-bread/,146
/instant-bread-rasmalai-video-recipe/,144
/white-sauce-pasta-recipe/,144
/cheese-garlic-masala-mathri/,143
/restaurant-style-chana-masala/,142
/how-to-make-lachha-paratha-3-ways/,142
/jeera-biscuits-eggless-roasted-cumin-cookies-video-recipe/,142
/green-smoothie/,141
/mango-shrikhand-recipe-amarkhand-recipe/,140
/indian-masala-chai-recipe/,139
/instant-pot-matar-paneer-recipe/,139
/hara-bhara-kabab/,138
/apple-cinnamon-brownie-with-caramel-drizzle/,138
/peanut-date-roll/,138
/masaledar-jau-ki-papdi-spicy-barley-crackers-video-recipe/,137
/mango-milkshake/,136
/gulkand-shrikhand-recipe-video-how-to-make-rose-srikhand/,135
/dulce-de-leche-modak/,135
/restaurant-style-paneer-pyaza-video-recipe/,135
/watermelon-cucumber-feta-salad/,134
/chana-dal-recipe/,134
/curried-egg-salad-sandwich-video/,134
/mini-apple-pear-tarte-tatin-video-recipe/,134
/chana-dal-capsicum-curry-vegetarian-recipe/,133
/hot-chocolate/,133
/steamed-besan-gatte-ki-sabzi-recipe-video-rajasthani-adhar-bele-ki-sabji/,133
/almond-peas-curry/,132
/peach-chocolate-eggless-brownies-video-recipe/,132
/carrot-sabudana-kheer-carrot-sago-kheer/,132
/how-to-make-masala-khichdi-recipe/,132
/rice-thepla/,132
/hot-and-sour-soup/,132
/potato-roses-potato-gratins-video-recipe/,131
/thandai-cheesecake/,131
/nayab-chana-masala-spicy-chickpeas-curry-vegetarian-recipe/,130
/rajasthani-mirchi-vada-video-recipe/,130
/aloo-palak-paratha-potato-stuffed-spinach-flatbread/,130
/moong-dal-palak-idli-recipe/,128
/carrot-cake-mug-cake/,127
/coconut-rose-modak/,126
/quick-masala-murmura/,126
/eggless-triple-chocolate-cookies-video-recipe/,126
/mushroom-masala-recipe/,125
/rice-chakli-recipe/,125
/royal-rajasthani-gatta-pulav-recipestory/,123
/bhel-puri/,122
/rose-overnight-oats/,122
/peanut-chikki/,122
/peas-corn-coconut-masala-recipe/,122
/pista-katli/,122
/ratatouille-pasta/,121
/how-to-make-ghee-from-butter/,120
/apple-rose-mini-tartlets/,120
/creamy-tofu-bell-pepper-curry-recipe/,119
/fruit-cream/,119
/coconut-burfi-roll/,117
/instant-oats-rava-dhokla-oats-suji-ka-dhokla-video-recipe/,117
/chocoalte-souffle-video/,117
/mayonnaise-sandwich/,115
/cheesy-blueberry-halwa-recipe/,115
/apple-shaped-milk-peda/,115
/indian-cappuccino-beaten-coffee/,115
/til-chikki/,114
/homemade-ginger-garlic-paste-how-to-make-ginger-garlic-paste-video-recipe/,113
/paneer-pasanda/,113
/lemon-rice-recipe/,112
/3-bean-thick-dal-makhani/,112
/thandai-powder/,112
/almond-flour-crackers/,111
/pyaaz-pakoda-onion-fritters/,111
/strawberry-chia-pudding/,111
/strawberry-shrikhand-recipe/,111
/bread-chaat/,110
/makki-ki-roti/,110
/no-bake-cream-cheese-lemon-mousse/,109
/atta-ladoo/,109
/strawberry-ice-cream/,108
/search-with-images/,108
