BOOK_URL;PDF_URLS
http://literature.awgp.org/book/aantarik_kayakalp_ka_saral_kint_sunishchir_vidhan/v1.1;http://literature.awgp.org/var/node/2325/Aantarik_Kayakalp_Ka_Saral_Kintu_Sunishchit_Vidhan.pdf
http://literature.awgp.org/book/aapattikal_ka_adhyatm/v1.1;http://literature.awgp.org/var/node/68779/H-JS_02_Aapattikal_Ka_Aadhyatm.pdf
http://literature.awgp.org/book/aapattikal_ka_adhyatm/v2.1;http://literature.awgp.org/var/node/68859/Aapattikal_Ka_Aadhyatm.pdf
http://literature.awgp.org/book/aapattiyon_me_dhairya/v1.1;http://literature.awgp.org/var/node/76694/Aapattiyon_Me_Dhairya.pdf
http://literature.awgp.org/book/Aarthik_Swavlamban/v1.1;http://literature.awgp.org/var/node/1858/Aarthik_Svavalamban.pdf
http://literature.awgp.org/book/Aasan_Aur_Pranayam/v1.1;http://literature.awgp.org/var/node/1522/Aasan_Aur_Pranayam.pdf
http://literature.awgp.org/book/aastik_kaun_nastik_kaun/v1.1;http://literature.awgp.org/var/node/2310/Aastik_Kaun__Nastik_Kaun_.pdf
http://literature.awgp.org/book/aastikata_ka_pran_hai_shraddha/v2.1;http://literature.awgp.org/var/node/68860/Aastikata_Ka_Pran_Hai_Shraddha.pdf
http://literature.awgp.org/book/aastikata_ka_pran_hai_shraddha/v1.1;http://literature.awgp.org/var/node/68781/H-JS_48_Aastikata_Ka_Pran_Hai_Shraddha.pdf
http://literature.awgp.org/book/aastikata_kee_upayogita_aur_aavashyakata/v1.1;http://literature.awgp.org/var/node/2357/Aastikata_Ki_Upayogita-Avasyakata.pdf
http://literature.awgp.org/book/aastikavad_tathy_evan_saty/v1.1;http://literature.awgp.org/var/node/2303/Aastikatavad_Tathy_Evam_Satya_.pdf
http://literature.awgp.org/book/Indriya_Sanyam_Ka_Mahatva/v1.1;http://literature.awgp.org/var/node/1602/indriye_sanyam_ka_mahatv.pdf
http://literature.awgp.org/book/ikkeesaveen_sadee_ka_gangavataran/v3.1;http://literature.awgp.org/var/node/65663/21Vi_Sadi_Ka_Gangavataran.pdf
http://literature.awgp.org/book/ikkeesaveen_sadee_ka_sanvidhan/v1.1;http://literature.awgp.org/var/node/2336/Vi_Sadi_Ka_Samvidhan.pdf
http://literature.awgp.org/book/Ekkisavi_Sadi_Ujjwal_Bhavishya/v4.1;http://literature.awgp.org/var/node/65665/21Vi_Sadi_Ujjaval_Bhavisya_Bhag-1.pdf
http://literature.awgp.org/book/Ekkisavi_Sadi_Ujjwal_Bhavishya/v5.1;http://literature.awgp.org/var/node/65666/H-KD_02_21Vi_Sadi_Ujjaval_Bhavisya_Bhag-2.pdf
http://literature.awgp.org/book/ikkisvi_sadi_ke_liye_hame/v1.1;http://literature.awgp.org/var/node/2372/Vi_Sadi_Ke_Lie_Hame_Kya.pdf
http://literature.awgp.org/book/Ekkisavi_Sadi_Ujjwal_Bhavishya/v2.1;http://literature.awgp.org/var/node/1497/H-KD_01_21Vi_Sadi_Ujjaval_Bhavisya_Bhag-1.pdf
http://literature.awgp.org/book/Ekkisavi_Sadi_Ujjwal_Bhavishya/v1.1;http://literature.awgp.org/var/node/1489/21Vi_Sadi_Ujjaval_Bhavisya_Bhag-2.pdf
http://literature.awgp.org/book/Eshwar_aur_Ushki_Anubhuti/v1.1;http://literature.awgp.org/var/node/1653/H-AA_19_Ishavar_Aur_Usaki_Anubhuti.pdf|http://literature.awgp.org/var/node/1653/Ishavar_Aur_Usaki_Anubhuti.pdf
http://literature.awgp.org/book/Ishwar_Aur_Swarg_Prapti_Ka_Sachcha_Marg/v1.1;http://literature.awgp.org/var/node/1862/Ishvar_Aur_Svarg_Prapti_Ka_Rajmarg.pdf
http://literature.awgp.org/book/ishvar_aur_svarg_prapti_ka_rajmarg/v1.1;http://literature.awgp.org/var/node/73034/Ishvar_Aur_Svarg_Prapti_Ka_Rajmarg.pdf
http://literature.awgp.org/book/Ishwar_Ka_Virat_Roop/v1.1;http://literature.awgp.org/var/node/1638/ईश्वर_का_विराट_रूप.pdf
http://literature.awgp.org/book/Ishwar_Kaun_Hai_Kaisa_Hai_Kahan_Hai/v1.1;http://literature.awgp.org/var/node/1595/Ishvar_Kaun_Hai__Kahan_Hai__Kaisa_Hai_.pdf
http://literature.awgp.org/book/ishwar_chandra_vidyasagar/v1.1;http://literature.awgp.org/var/node/72454/Ishvarchandra_Vidhyasagar.pdf
http://literature.awgp.org/book/ishvar_se_sazedari_har_drusti_se_nafe_ka_sauda/v1.1;http://literature.awgp.org/var/node/73038/Ishvar_Se_Sazedari_Har_Drusti_Se_Nafe_Ka_Sauda.pdf
http://literature.awgp.org/book/Ishwariya_Nyay/v1.1;http://literature.awgp.org/var/node/1637/Ishvariya_Nyay.pdf
http://literature.awgp.org/book/Udarta_Aur_Durdarshita/v1.1;http://literature.awgp.org/var/node/1679/Udarata_Aur_Doordarshita_hindi.pdf
http://literature.awgp.org/book/Unse_Jo_50_Ke_Ho_Chale/v1.1;http://literature.awgp.org/var/node/1680/Unase_Jo_Pachas_Ke_Ho_Chale__2_.pdf
http://literature.awgp.org/book/Upbhog_Nahin_Upyog/v1.1;http://literature.awgp.org/var/node/1681/Upabhog_Nahi_Upayog.pdf
http://literature.awgp.org/book/upasna_aur_sadhna_ka_samnvay/v1.1;http://literature.awgp.org/var/node/2010/Upasana_Aur_Sadhana_Ka_Samanvay.pdf
http://literature.awgp.org/book/The_meaning_purpose_and_benefit_of_WORSHIP/v2.1;http://literature.awgp.org/var/node/1949/Upasana_Ka_Tatvadarshan_Aur_Svarup.pdf
