DATETIME,TEMPERATURE
20200115T10:06:01,38.0
20200115T10:08:01,38.0
20200115T10:10:01,37.0
20200115T10:12:01,37.0
20200115T10:14:01,37.0
20200115T10:16:01,38.0
20200115T10:18:01,37.0
20200115T10:20:01,36.0
20200115T10:22:01,37.0
20200115T10:24:01,37.0
20200115T10:26:02,37.0
20200115T10:28:01,37.0
20200115T10:30:01,38.0
20200115T10:32:01,37.0
20200115T10:34:01,37.0
20200115T10:36:01,37.0
20200115T10:38:01,37.0
20200115T10:40:02,36.0
20200115T10:42:01,37.0
20200115T10:44:01,37.0
20200115T10:46:01,36.0
20200115T10:48:01,37.0
20200115T10:50:01,38.0
20200115T10:52:01,37.0
20200115T10:54:01,37.0
20200115T10:56:01,37.0
20200115T10:58:01,37.0
20200115T11:00:01,38.0
20200115T11:02:01,37.0
20200115T11:04:01,38.0
20200115T11:06:01,37.0
20200115T11:08:01,38.0
20200115T11:10:01,37.0
20200115T11:12:01,37.0
20200115T11:14:01,38.0
20200115T11:16:01,37.0
20200115T11:18:01,37.0
20200115T11:20:01,37.0
20200115T11:22:02,37.0
20200115T11:24:01,37.0
20200115T11:26:01,37.0
20200115T11:28:01,37.0
20200115T11:30:01,38.0
20200115T11:32:01,37.0
20200115T11:34:01,37.0
20200115T11:36:02,38.0
20200115T11:38:01,38.0
20200115T11:40:01,37.0
20200115T11:42:01,37.0
20200115T11:44:01,36.0
20200115T11:46:01,38.0
20200115T11:48:01,36.0
20200115T11:50:01,37.0
20200115T11:52:01,37.0
20200115T11:54:01,37.0
20200115T11:56:01,38.0
20200115T11:58:01,36.0
20200115T12:00:01,38.0
20200115T12:02:01,36.0
20200115T12:04:01,36.0
20200115T12:06:01,37.0
20200115T12:08:01,37.0
20200115T12:10:01,37.0
20200115T12:12:01,36.0
20200115T12:14:01,37.0
20200115T12:16:01,37.0
20200115T12:18:02,36.0
20200115T12:20:01,36.0
20200115T12:22:01,37.0
20200115T12:24:01,37.0
20200115T12:26:01,37.0
20200115T12:28:01,37.0
20200115T12:30:01,37.0
20200115T12:32:02,36.0
20200115T12:34:01,36.0
20200115T12:36:01,35.0
20200115T12:38:01,36.0
20200115T12:40:01,36.0
20200115T12:42:01,36.0
20200115T12:44:01,37.0
20200115T12:46:01,36.0
20200115T12:48:01,36.0
20200115T12:50:01,36.0
20200115T12:52:01,37.0
20200115T12:54:01,36.0
20200115T12:56:01,36.0
20200115T12:58:01,36.0
20200115T13:00:01,36.0
20200115T13:02:01,37.0
20200115T13:04:01,36.0
20200115T13:06:01,37.0
20200115T13:08:01,36.0
20200115T13:10:01,36.0
20200115T13:12:01,37.0
20200115T13:14:01,36.0
20200115T13:16:02,36.0
20200115T13:18:01,37.0
20200115T13:20:01,36.0
20200115T13:22:01,36.0
20200115T13:24:01,36.0
20200115T13:26:01,36.0
20200115T13:28:01,37.0
20200115T13:30:01,37.0
20200115T13:32:01,37.0
20200115T13:34:01,36.0
20200115T13:36:01,38.0
20200115T13:38:01,36.0
20200115T13:40:01,37.0
20200115T13:42:01,37.0
20200115T13:44:01,36.0
20200115T13:46:01,36.0
20200115T13:48:01,38.0
20200115T13:50:01,37.0
20200115T13:52:01,37.0
20200115T13:54:01,37.0
20200115T13:56:01,36.0
20200115T13:58:01,37.0
20200115T14:00:01,36.0
20200115T14:02:01,37.0
20200115T14:04:01,37.0
20200115T14:06:01,37.0
20200115T14:08:01,37.0
20200115T14:10:01,35.0
20200115T14:12:02,38.0
20200115T14:14:01,36.0
20200115T14:16:01,37.0
20200115T14:18:01,37.0
20200115T14:20:01,36.0
20200115T14:22:01,36.0
20200115T14:24:01,37.0
20200115T14:26:01,37.0
20200115T14:28:01,37.0
20200115T14:30:01,36.0
20200115T14:32:01,36.0
20200115T14:34:01,37.0
20200115T14:36:01,37.0
20200115T14:38:01,37.0
20200115T14:40:01,37.0
20200115T14:42:01,36.0
20200115T14:44:01,36.0
20200115T14:46:01,37.0
20200115T14:48:01,36.0
20200115T14:50:01,36.0
20200115T14:52:01,36.0
20200115T14:54:01,37.0
20200115T14:56:01,38.0
20200115T14:58:01,37.0
20200115T15:00:01,37.0
20200115T15:02:01,36.0
20200115T15:04:01,36.0
20200115T15:06:01,36.0
20200115T15:08:02,37.0
20200115T15:10:01,37.0
20200115T15:12:01,36.0
20200115T15:14:01,36.0
20200115T15:16:01,37.0
20200115T15:18:01,36.0
20200115T15:20:01,35.0
20200115T15:22:01,37.0
20200115T15:24:01,36.0
20200115T15:26:01,37.0
20200115T15:28:01,36.0
20200115T15:30:01,37.0
20200115T15:32:01,36.0
20200115T15:34:01,36.0
20200115T15:36:01,38.0
20200115T15:38:01,36.0
20200115T15:40:01,36.0
20200115T15:42:01,36.0
20200115T15:44:01,36.0
20200115T15:46:01,37.0
20200115T15:48:01,36.0
20200115T15:50:01,37.0
20200115T15:52:01,36.0
20200115T15:54:01,36.0
20200115T15:56:01,36.0
20200115T15:58:01,36.0
20200115T16:00:01,36.0
20200115T16:02:01,38.0
20200115T16:04:02,37.0
20200115T16:06:01,36.0
20200115T16:08:01,37.0
20200115T16:10:01,36.0
20200115T16:12:01,36.0
20200115T16:14:01,37.0
20200115T16:16:01,37.0
20200115T16:18:01,36.0
20200115T16:20:01,36.0
20200115T16:22:01,36.0
20200115T16:24:01,36.0
20200115T16:26:01,37.0
20200115T16:28:01,37.0
20200115T16:30:01,38.0
20200115T16:32:01,36.0
20200115T16:34:01,36.0
20200115T16:36:01,36.0
20200115T16:38:01,36.0
20200115T16:40:01,37.0
20200115T16:42:01,35.0
20200115T16:44:01,36.0
20200115T16:46:01,37.0
20200115T16:48:01,37.0
20200115T16:50:01,36.0
20200115T16:52:01,36.0
20200115T16:54:01,37.0
20200115T16:56:01,36.0
20200115T16:58:01,37.0
20200115T17:00:02,36.0
20200115T17:02:01,36.0
20200115T17:04:01,37.0
20200115T17:06:01,37.0
20200115T17:08:01,37.0
20200115T17:10:01,36.0
20200115T17:12:01,36.0
20200115T17:14:02,38.0
20200115T17:16:01,36.0
20200115T17:18:01,36.0
20200115T17:20:01,36.0
20200115T17:22:01,36.0
20200115T17:24:01,36.0
20200115T17:26:01,36.0
20200115T17:28:01,37.0
20200115T17:30:01,35.0
20200115T17:32:01,36.0
20200115T17:34:01,36.0
20200115T17:36:01,37.0
20200115T17:38:01,36.0
20200115T17:40:01,38.0
20200115T17:42:01,41.0
20200115T17:44:01,38.0
20200115T17:46:01,38.0
20200115T17:48:01,36.0
20200115T17:50:01,36.0
20200115T17:52:01,37.0
20200115T17:54:01,36.0
20200115T17:56:01,37.0
20200115T17:58:01,37.0
20200115T18:00:01,36.0
20200115T18:02:01,36.0
20200115T18:04:01,36.0
20200115T18:06:01,36.0
20200115T18:08:01,36.0
20200115T18:10:01,38.0
20200115T18:12:01,37.0
20200115T18:14:01,36.0
20200115T18:16:01,36.0
20200115T18:18:01,36.0
20200115T18:20:01,36.0
20200115T18:22:01,36.0
20200115T18:24:01,36.0
20200115T18:26:01,36.0
20200115T18:28:01,36.0
20200115T18:30:02,36.0
20200115T18:32:01,36.0
20200115T18:34:01,35.0
20200115T18:36:01,36.0
20200115T18:38:01,35.0
20200115T18:40:01,36.0
20200115T18:42:01,36.0
20200115T18:44:01,36.0
20200115T18:46:02,37.0
20200115T18:48:01,42.0
20200115T18:50:01,45.0
20200115T18:52:01,48.0
20200115T18:54:01,40.0
20200115T18:56:01,38.0
20200115T18:58:01,37.0
20200115T19:00:01,37.0
20200115T19:02:01,39.0
20200115T19:04:01,37.0
20200115T19:06:01,37.0
20200115T19:08:01,37.0
20200115T19:10:01,36.0
20200115T19:12:01,37.0
20200115T19:14:01,36.0
20200115T19:16:01,36.0
20200115T19:18:01,37.0
20200115T19:20:01,36.0
20200115T19:22:01,37.0
20200115T19:24:01,36.0
20200115T19:26:01,38.0
20200115T19:28:01,36.0
20200115T19:30:02,37.0
20200115T19:32:01,36.0
20200115T19:34:01,37.0
20200115T19:36:01,35.0
20200115T19:38:01,35.0
20200115T19:40:01,37.0
20200115T19:42:01,37.0
20200115T19:44:02,36.0
20200115T19:46:01,38.0
20200115T19:48:01,36.0
20200115T19:50:01,37.0
20200115T19:52:01,37.0
20200115T19:54:01,37.0
20200115T19:56:01,37.0
20200115T19:58:01,36.0
20200115T20:00:01,36.0
20200115T20:02:01,36.0
20200115T20:04:01,37.0
20200115T20:06:01,37.0
20200115T20:08:01,36.0
20200115T20:10:01,36.0
20200115T20:12:01,37.0
20200115T20:14:01,37.0
20200115T20:16:01,38.0
20200115T20:18:01,37.0
20200115T20:20:01,37.0
20200115T20:22:01,37.0
20200115T20:24:01,36.0
20200115T20:26:01,38.0
20200115T20:28:01,37.0
20200115T20:30:01,37.0
20200115T20:32:02,37.0
20200115T20:34:01,37.0
20200115T20:36:01,37.0
20200115T20:38:01,37.0
20200115T20:40:01,38.0
20200115T20:42:01,37.0
20200115T20:44:01,37.0
20200115T20:46:02,38.0
20200115T20:48:01,37.0
20200115T20:50:01,37.0
20200115T20:52:01,37.0
